"x"
"Total"
""
"12:00 a.m. to 4:59 a.m."
"5:00 a.m. to 5:29 a.m."
"5:30 a.m. to 5:59 a.m."
"6:00 a.m. to 6:29 a.m."
"6:30 a.m. to 6:59 a.m."
"7:00 a.m. to 7:29 a.m."
"7:30 a.m. to 7:59 a.m."
"8:00 a.m. to 8:29 a.m."
"8:30 a.m. to 8:59 a.m."
"9:00 a.m. to 9:59 a.m."
"10:00 a.m. to 10:59 a.m."
"11:00 a.m. to 11:59 a.m."
"12:00 p.m. to 3:59 p.m."
"4:00 p.m. to 11:59 p.m."
"Male"
"Female"
"Car, truck, or van - drove alone"
"Car, truck, or van - carpooled"
"Public transportation (excluding taxicab)"
"Walked"
"Taxicab, motorcycle, bicycle, or other means"
"Aggregate travel time to work (in minutes)"
